,日期,股票代码,股票名称,基金持股比例 [单位]% [比例类型]占流通股比例,基金持股数量 [单位]股,持股基金家数 [股本类型]流通股本
0,2022-03-31,000001.SZ,平安银行,4.46000839,865498617.0,322.0
1,2022-06-30,000001.SZ,平安银行,5.63038639,1092619375.0,810.0
2,2022-09-30,000001.SZ,平安银行,3.20181505,621336593.0,215.0
3,2022-12-31,000001.SZ,平安银行,5.82702489,1130778577.0,901.0
4,2023-03-31,000001.SZ,平安银行,2.33717363,453546362.0,184.0
5,2022-03-31,000002.SZ,万科A,8.05861131,783635209.0,350.0
6,2022-06-30,000002.SZ,万科A,11.1604832,1085267315.0,936.0
7,2022-09-30,000002.SZ,万科A,9.03506272,878587250.0,370.0
8,2022-12-31,000002.SZ,万科A,11.96670323,1163665725.0,1028.0
9,2023-03-31,000002.SZ,万科A,4.37310539,425249361.0,137.0
10,2022-03-31,000004.SZ,国华网安,0.45944204,534500.0,1.0
11,2022-06-30,000004.SZ,国华网安,0.00386808,4500.0,1.0
12,2022-09-30,000004.SZ,国华网安,0.0,0.0,0.0
13,2022-12-31,000004.SZ,国华网安,0.0,0.0,0.0
14,2023-03-31,000004.SZ,国华网安,0.0,0.0,0.0
15,2022-03-31,000005.SZ,ST星源,0.0,0.0,0.0
16,2022-06-30,000005.SZ,ST星源,0.0,0.0,0.0
17,2022-09-30,000005.SZ,ST星源,0.0,0.0,0.0
18,2022-12-31,000005.SZ,ST星源,0.0,0.0,0.0
19,2023-03-31,000005.SZ,ST星源,0.0,0.0,0.0
20,2022-03-31,000006.SZ,深振业A,0.0,0.0,0.0
21,2022-06-30,000006.SZ,深振业A,1.35586718,18304140.0,11.0
22,2022-09-30,000006.SZ,深振业A,0.62476593,8434309.0,2.0
23,2022-12-31,000006.SZ,深振业A,0.84141614,11359076.0,15.0
24,2023-03-31,000006.SZ,深振业A,0.46053502,6217200.0,1.0
25,2022-03-31,000007.SZ,全新好,0.0,0.0,0.0
26,2022-06-30,000007.SZ,全新好,0.0,0.0,0.0
27,2022-09-30,000007.SZ,全新好,0.0,0.0,0.0
28,2022-12-31,000007.SZ,全新好,0.0,0.0,0.0
29,2023-03-31,000007.SZ,全新好,0.0,0.0,0.0
30,2022-03-31,000008.SZ,神州高铁,0.00348102,96800.0,2.0
31,2022-06-30,000008.SZ,神州高铁,0.06848138,1904327.0,8.0
32,2022-09-30,000008.SZ,神州高铁,0.0,0.0,0.0
33,2022-12-31,000008.SZ,神州高铁,0.09547425,2654943.0,7.0
34,2023-03-31,000008.SZ,神州高铁,0.0,0.0,0.0
35,2022-03-31,000009.SZ,中国宝安,3.40180548,86891656.0,10.0
36,2022-06-30,000009.SZ,中国宝安,6.54835472,167263357.0,206.0
37,2022-09-30,000009.SZ,中国宝安,1.69538584,43304911.0,8.0
38,2022-12-31,000009.SZ,中国宝安,4.06771652,103900895.0,141.0
39,2023-03-31,000009.SZ,中国宝安,2.01334092,51426376.0,7.0
40,2022-03-31,000010.SZ,美丽生态,0.0,0.0,0.0
41,2022-06-30,000010.SZ,美丽生态,0.0,0.0,0.0
42,2022-09-30,000010.SZ,美丽生态,0.0,0.0,0.0
43,2022-12-31,000010.SZ,美丽生态,0.0,0.0,0.0
44,2023-03-31,000010.SZ,美丽生态,0.0,0.0,0.0
45,2022-03-31,000011.SZ,深物业A,0.08218806,432700.0,2.0
46,2022-06-30,000011.SZ,深物业A,0.55239681,2908234.0,16.0
47,2022-09-30,000011.SZ,深物业A,0.2525728,1329734.0,1.0
48,2022-12-31,000011.SZ,深物业A,0.86099463,4532926.0,27.0
49,2023-03-31,000011.SZ,深物业A,0.26383638,1389034.0,1.0
50,2022-03-31,000012.SZ,南玻A,9.01670776,176846767.0,13.0
51,2022-06-30,000012.SZ,南玻A,6.90377195,135405270.0,142.0
52,2022-09-30,000012.SZ,南玻A,0.49376858,9684397.0,5.0
53,2022-12-31,000012.SZ,南玻A,5.80991811,113951264.0,186.0
54,2023-03-31,000012.SZ,南玻A,0.27398852,5373800.0,5.0
55,2022-03-31,000014.SZ,沙河股份,0.00084281,1700.0,1.0
56,2022-06-30,000014.SZ,沙河股份,0.18692297,452440.0,3.0
57,2022-09-30,000014.SZ,沙河股份,0.0,0.0,0.0
58,2022-12-31,000014.SZ,沙河股份,0.24354851,589500.0,12.0
59,2023-03-31,000014.SZ,沙河股份,0.0,0.0,0.0
60,2022-03-31,000016.SZ,深康佳A,0.0,0.0,0.0
61,2022-06-30,000016.SZ,深康佳A,0.58223457,9295921.0,21.0
62,2022-09-30,000016.SZ,深康佳A,0.0,0.0,0.0
63,2022-12-31,000016.SZ,深康佳A,0.88762163,14171712.0,23.0
64,2023-03-31,000016.SZ,深康佳A,0.0,0.0,0.0
65,2022-03-31,000017.SZ,深中华A,0.0,0.0,0.0
66,2022-06-30,000017.SZ,深中华A,0.0,0.0,0.0
67,2022-09-30,000017.SZ,深中华A,0.0,0.0,0.0
68,2022-12-31,000017.SZ,深中华A,0.06323746,191600.0,2.0
69,2023-03-31,000017.SZ,深中华A,0.0,0.0,0.0
70,2022-03-31,000019.SZ,深粮控股,0.0,0.0,0.0
71,2022-06-30,000019.SZ,深粮控股,0.05985349,249120.0,10.0
72,2022-09-30,000019.SZ,深粮控股,0.0,0.0,0.0
73,2022-12-31,000019.SZ,深粮控股,0.49119881,2044450.0,18.0
74,2023-03-31,000019.SZ,深粮控股,0.0,0.0,0.0
75,2022-03-31,000020.SZ,深华发A,0.0,0.0,0.0
76,2022-06-30,000020.SZ,深华发A,0.14991826,271600.0,1.0
77,2022-09-30,000020.SZ,深华发A,0.0,0.0,0.0
78,2022-12-31,000020.SZ,深华发A,0.09218097,167000.0,3.0
79,2023-03-31,000020.SZ,深华发A,0.0,0.0,0.0
80,2022-03-31,000021.SZ,深科技,1.35118202,21086379.0,2.0
81,2022-06-30,000021.SZ,深科技,2.26504746,36978050.0,118.0
82,2022-09-30,000021.SZ,深科技,1.37617467,21476411.0,2.0
83,2022-12-31,000021.SZ,深科技,1.35675271,21173314.0,103.0
84,2023-03-31,000021.SZ,深科技,1.70999419,26685957.0,12.0
85,2022-03-31,000023.SZ,深天地A,0.0,0.0,0.0
86,2022-06-30,000023.SZ,深天地A,0.0,0.0,0.0
87,2022-09-30,000023.SZ,深天地A,0.0,0.0,0.0
88,2022-12-31,000023.SZ,深天地A,0.03199856,44400.0,3.0
89,2023-03-31,000023.SZ,深天地A,0.0,0.0,0.0
90,2022-03-31,000025.SZ,特力A,0.2484908,976018.0,1.0
