,日期,股票代码,股票名称,区间日均总市值 [起始交易日期]截止日3月前 [单位]元,月收盘价 [复权方式]前复权,当月成交均价 [复权方式]前复权,月换手率 [单位]%,月振幅 [单位]%,融资融券差额 [单位]元
0,2020-03-31,000001.SZ,平安银行,290118477060.1,12.485204736,13.402991426757,13.699,25.7241,3028232558.0
1,2020-06-30,000001.SZ,平安银行,255585486561.86,12.700130048,12.998950217262,9.414,10.4615,3617989782.0
2,2020-09-30,000001.SZ,平安银行,283940443699.45,15.0516385022,15.183082142203,11.0886,9.8806,2541506225.0
3,2020-12-31,000001.SZ,平安银行,352624621446.05,19.1891027444,18.641314730217,10.1084,13.7791,956138020.0
4,2021-03-31,000001.SZ,平安银行,425002765090.91,21.8382704966,21.299571875763,12.0587,15.014,795500341.0
5,2021-03-31,000002.SZ,万科A,352365817656.33,28.3709817,29.974365674907,19.534,14.713,4094126020.0
6,2020-09-30,000002.SZ,万科A,325310373547.05,26.4984969078,26.705656657813,16.3117,9.6443,3704119445.0
7,2020-12-31,000002.SZ,万科A,336015287993.12,27.141572493,27.344355112635,14.15,14.3322,3473594838.0
8,2020-03-31,000002.SZ,万科A,331957349261.57,23.3920728225,25.836239751014,20.92,28.7935,3380239752.0
9,2020-06-30,000002.SZ,万科A,297841686663.1,23.838938931,23.847962890477,15.681,9.7665,4895296605.0
10,2020-03-31,000006.SZ,深振业A,6628018050.42,4.1900350912,4.418463424723,25.263,16.8467,507318643.0
11,2020-06-30,000006.SZ,深振业A,6853991241.74,6.5635428312,5.334845720049,62.66,42.4116,588860777.0
12,2020-09-30,000006.SZ,深振业A,9741725445.37,6.1972952136,5.903004738573,42.6476,15.3365,718182020.0
13,2020-12-31,000006.SZ,深振业A,7870028496.85,5.4069714072,5.368620169256,14.6757,10.6457,559949397.0
14,2021-03-31,000006.SZ,深振业A,7006931914.18,5.1852952176,5.076250646602,18.5966,15.1163,491634589.0
15,2021-03-31,000008.SZ,神州高铁,6737065877.24,2.29,2.362895652174,11.1894,8.9362,268732743.0
16,2020-12-31,000008.SZ,神州高铁,7581542196.61,2.54,2.647386956522,12.4095,13.2353,310254016.0
17,2020-03-31,000008.SZ,神州高铁,9398616948.23,3.12942762,3.3452349057,47.613,22.4359,362192810.0
18,2020-06-30,000008.SZ,神州高铁,8542512129.29,2.94,2.95438,10.571,5.0167,330332354.0
19,2020-09-30,000008.SZ,神州高铁,8558624004.46,2.88,3.000222727273,14.2076,8.5246,333440844.0
20,2020-03-31,000009.SZ,中国宝安,17995481842.24,5.859048678,6.82297451114,82.244,32.5236,1191412118.0
21,2020-06-30,000009.SZ,中国宝安,17748797476.85,8.4796775935,7.445714931729,63.701,25.942,1324623706.0
22,2020-09-30,000009.SZ,中国宝安,21312776411.68,6.99276109,7.190506383967,39.853,15.0327,1646175244.0
23,2020-12-31,000009.SZ,中国宝安,19434588637.26,7.5222130011,7.24916956885,39.4795,13.8441,1734036302.0
24,2021-03-31,000009.SZ,中国宝安,21647911109.63,8.6710237516,9.067700068587,51.5057,16.9421,1835756395.0
25,2020-03-31,000012.SZ,南玻A,15355542671.04,4.2847931232,4.864881708039,45.618,31.8182,467558544.0
26,2020-06-30,000012.SZ,南玻A,14279890361.22,4.8996950976,4.638830255222,22.458,11.6484,451435733.0
27,2020-09-30,000012.SZ,南玻A,17652813117.21,5.562886188,5.450976071408,21.81,11.6041,593408307.0
28,2020-12-31,000012.SZ,南玻A,21082063187.08,7.305000012,7.02556891398,90.8706,19.708,830993528.0
29,2021-03-31,000012.SZ,南玻A,20266567906.2,6.226077246,6.294040342612,28.7569,12.7301,622475954.0
30,2021-03-31,000016.SZ,深康佳A,15402279958.05,6.0334645761,5.988146191916,17.2785,5.7851,997393208.0
31,2020-09-30,000016.SZ,深康佳A,17401179218.59,5.9645669382,6.640390131783,37.673,21.958,844308517.0
32,2020-12-31,000016.SZ,深康佳A,15789805954.1,6.5059055217,6.595279879932,51.3271,18.7592,995628550.0
33,2020-03-31,000016.SZ,深康佳A,19086028305.95,8.1664221605,9.885193962304,343.178,58.4886,1045693736.0
34,2020-06-30,000016.SZ,深康佳A,17876823556.08,6.6113788988,6.808805822085,76.629,12.6332,1003810663.0
35,2020-03-31,000021.SZ,深科技,24696709286.91,17.001011824,18.045199233624,119.683,24.7559,1380934588.0
36,2020-06-30,000021.SZ,深科技,31918610095.2,21.6350893169,23.087384178731,68.576,16.3483,2091401189.0
37,2020-09-30,000021.SZ,深科技,35646638046.94,20.4557143152,21.787849463224,37.1086,26.0118,2469843254.0
38,2020-12-31,000021.SZ,深科技,30920324438.89,18.8402678843,19.86333799447,24.4751,20.9042,2184630398.0
39,2021-03-31,000021.SZ,深科技,29656349536.19,18.9591964559,20.034263344096,31.9888,20.2415,2169711889.0
40,2020-03-31,000025.SZ,特力A,8420322447.17,17.6963360832,18.807719614486,26.927,17.3187,56055074.0
41,2020-06-30,000025.SZ,特力A,7843848118.03,18.305313156,18.048524465418,21.319,7.7054,95284321.0
42,2020-09-30,000025.SZ,特力A,9223682992.06,20.062942788,21.268689425684,41.5081,14.0781,264901295.0
43,2020-12-31,000025.SZ,特力A,8134989147.28,16.87723908,17.701497037487,16.5737,14.2857,161486486.0
44,2021-03-31,000025.SZ,特力A,6671248518.22,14.820013488,15.36497853924,23.9354,16.8901,127398598.0
45,2021-03-31,000027.SZ,深圳能源,33560563676.92,10.9232350392,8.521173071834,115.4613,120.3125,902424503.0
46,2020-09-30,000027.SZ,深圳能源,26381502229.71,5.2182299296,5.33456919762,5.8771,7.8534,400827005.0
47,2020-12-31,000027.SZ,深圳能源,26967381723.84,5.9289216924,5.564830789071,20.6477,22.9277,525474645.0
48,2020-03-31,000027.SZ,深圳能源,22526375643.7,4.3234840466,4.393958005464,5.364,10.3131,313081234.0
49,2020-06-30,000027.SZ,深圳能源,21534338454.56,4.5172736704,4.451682323659,4.894,21.4545,316474429.0
50,2020-03-31,000028.SZ,国药一致,19539570376.33,38.630450701,40.084123043843,17.008,18.1422,169000755.0
51,2020-06-30,000028.SZ,国药一致,18014320119.12,44.0720474124,42.80200598994,40.658,27.5546,235229227.0
52,2020-09-30,000028.SZ,国药一致,21069087326.68,45.237249288,47.48029405366,23.0018,17.6807,299372176.0
53,2020-12-31,000028.SZ,国药一致,20991206345.99,44.845584792,47.477497832333,37.5302,20.3314,341913842.0
54,2021-03-31,000028.SZ,国药一致,17449802752.02,41.222688204,39.77853180557,16.9012,9.2874,282522575.0
55,2020-06-30,000030.SZ,富奥股份,9677846251.03,6.1117567794,5.72496981529,36.983,30.4813,88513711.0
56,2020-03-31,000030.SZ,富奥股份,9426225287.05,5.025509298,5.555670917352,38.489,40.6518,106675694.0
57,2020-09-30,000030.SZ,富奥股份,13527796817.41,6.4178228466,6.417053333903,15.0864,13.2102,96585004.0
58,2020-12-31,000030.SZ,富奥股份,13626927535.76,7.0203904164,7.006451103122,16.4317,15.9895,95652217.0
59,2021-03-31,000030.SZ,富奥股份,12714372044.57,7.125600627,7.122972450988,10.7635,20.7602,96601248.0
60,2020-09-30,000031.SZ,大悦城,23428860761.32,4.64,5.079304545455,14.759,16.6362,352204937.0
61,2020-12-31,000031.SZ,大悦城,20146375367.62,4.4,4.615434782609,7.6533,14.0756,344927329.0
62,2020-03-31,000031.SZ,大悦城,25829571112.1,5.2231217824,5.427872039632,17.159,17.5627,350101595.0
63,2020-06-30,000031.SZ,大悦城,22235426114.64,4.9415780432,4.924845607527,7.552,5.9184,309068246.0
64,2021-03-31,000031.SZ,大悦城,17332688752.86,3.86,4.049647826087,7.5964,10.9005,292042333.0
65,2021-03-31,000034.SZ,神州数码,12231296699.14,18.3063577926,17.302533158685,35.6105,14.2696,686016042.0
66,2020-09-30,000034.SZ,神州数码,15586286411.85,24.972206065,23.672478038048,122.8416,26.7179,792995195.0
67,2020-12-31,000034.SZ,神州数码,16905345921.92,21.2239026596,22.112861595605,69.2374,22.7102,949560217.0
68,2020-06-30,000034.SZ,神州数码,16132808091.6,24.0722176484,23.292501310199,67.118,9.8906,717456434.0
69,2020-03-31,000034.SZ,神州数码,16614054179.97,24.6257115153,28.080869972799,146.413,34.0557,603600529.0
70,2020-03-31,000035.SZ,中国天楹,13708816070.21,4.62,5.008868181818,11.62,20.5078,150544411.0
71,2020-06-30,000035.SZ,中国天楹,12274246077.07,5.1,4.906365,7.499,10.2083,230215278.0
72,2020-09-30,000035.SZ,中国天楹,13141722736.98,4.69,4.986472727273,8.2034,12.9456,197944680.0
73,2020-12-31,000035.SZ,中国天楹,11397130032.86,4.11,4.384313043478,7.3068,17.7384,156544025.0
74,2021-03-31,000035.SZ,中国天楹,10773534746.14,4.6,4.648217391304,19.6578,15.1386,150132209.0
75,2021-03-31,000036.SZ,华联控股,5865312112.37,3.902306077,3.859620724737,7.5048,5.2109,259734800.0
76,2020-12-31,000036.SZ,华联控股,6163921364.83,3.7880922406,3.884847085124,6.7743,7.601,305981830.0
77,2020-09-30,000036.SZ,华联控股,6657769670.37,3.7880922406,4.027456753492,11.224,11.1857,305559518.0
78,2020-06-30,000036.SZ,华联控股,5936709171.49,3.865078404,3.842889340253,17.162,7.3903,307194416.0
79,2020-03-31,000036.SZ,华联控股,5622852383.54,2.9602986867,3.15423937703,14.852,16.7139,312286219.0
80,2020-03-31,000039.SZ,中集集团,30797290668.84,7.4600069508,7.675763088629,13.51,15.0,535390031.0
81,2020-06-30,000039.SZ,中集集团,26505206046.39,7.1105664009,7.081494616959,12.474,8.9616,503047930.0
82,2020-09-30,000039.SZ,中集集团,30923411691.79,8.8119882368,8.707274350609,11.7884,7.8767,551012090.0
83,2020-12-31,000039.SZ,中集集团,48756045784.77,14.7423776417,14.652346385719,36.9903,11.9484,954457636.0
84,2021-03-31,000039.SZ,中集集团,54039147501.07,15.7258584717,14.238471996433,22.3359,15.8554,1007894204.0
85,2021-03-31,000040.SZ,东旭蓝天,4219193615.52,3.15,2.832913043478,115.4331,35.0394,154519884.0
86,2020-12-31,000040.SZ,东旭蓝天,4936908748.03,3.49,3.297617391304,95.0275,20.0599,212326410.0
87,2020-03-31,000040.SZ,东旭蓝天,5640544230.23,3.31,3.67995,106.667,30.8357,249608590.0
88,2020-06-30,000040.SZ,东旭蓝天,4571527775.71,2.94,2.97576,34.631,9.3103,225232943.0
89,2020-09-30,000040.SZ,东旭蓝天,4816139809.96,3.17,3.291627272727,103.5504,16.3142,194884288.0
90,2020-03-31,000046.SZ,泛海控股,22909960621.11,3.861633128,4.142239210279,10.021,22.5118,619858363.0
91,2020-06-30,000046.SZ,泛海控股,18923540585.74,3.6856599728,3.612616448962,5.525,15.6342,490029977.0
92,2020-09-30,000046.SZ,泛海控股,22546857533.02,4.22,4.413672727273,10.4042,20.8738,559942378.0
93,2020-12-31,000046.SZ,泛海控股,20619546406.42,3.28,3.704626086957,5.2426,23.5443,522632909.0
94,2021-03-31,000046.SZ,泛海控股,15487320090.81,2.75,2.935452173913,5.3636,14.5695,480322980.0
95,2020-03-31,000049.SZ,德赛电池,8919897739.16,22.865234293,26.788350125122,61.27,34.1518,366957733.0
96,2020-06-30,000049.SZ,德赛电池,8959671760.07,33.3176223874,33.343087709211,63.662,22.0031,306204548.0
97,2020-09-30,000049.SZ,德赛电池,11145722977.66,33.242842986,34.893329436867,19.0645,17.7523,227840146.0
98,2020-12-31,000049.SZ,德赛电池,11100533896.24,45.955341224,38.029995629853,69.6275,37.6087,461164478.0
99,2021-03-31,000049.SZ,德赛电池,14830898021.69,46.4244120146,48.584546553026,34.8511,17.6166,406260477.0
100,2020-12-31,000050.SZ,深天马A,36853321812.52,14.6700000348,14.980172178772,22.6864,18.5258,1346414044.0
101,2021-03-31,000050.SZ,深天马A,37782663195.37,13.93351428,14.523239453955,25.1085,16.4447,1434717770.0
102,2020-09-30,000050.SZ,深天马A,35801863448.2,14.6998575654,15.252737602483,17.4271,13.9379,1371098376.0
103,2020-06-30,000050.SZ,深天马A,28731473068.88,15.2870556672,14.65881838959,29.021,16.31,1418632214.0
104,2020-03-31,000050.SZ,深天马A,32892856199.06,13.1876100064,14.905264056896,28.19,25.7407,1509933217.0
105,2020-03-31,000059.SZ,华锦股份,9388727692.19,5.3155772238,5.572348014109,36.946,23.2441,618998924.0
106,2020-06-30,000059.SZ,华锦股份,7869257282.04,4.4733419384,4.590173357831,8.112,7.2527,522995091.0
107,2020-09-30,000059.SZ,华锦股份,8098908583.62,4.750451616,4.886298337496,11.5725,7.5581,570407962.0
108,2020-12-31,000059.SZ,华锦股份,8701229604.97,5.4630193584,5.513320789008,19.4163,10.3448,531233784.0
109,2021-03-31,000059.SZ,华锦股份,9135256713.87,5.7005419392,5.861033193162,30.4932,13.6213,605155411.0
110,2020-03-31,000060.SZ,中金岭南,14005872141.48,3.4289941004,3.570996136473,18.663,13.7838,881001159.0
111,2020-06-30,000060.SZ,中金岭南,12946253850.69,3.6541592736,3.669566662903,13.181,8.169,757012464.0
112,2020-09-30,000060.SZ,中金岭南,16049198672.42,4.027433608,4.316105046608,15.0263,11.8568,820045770.0
113,2020-12-31,000060.SZ,中金岭南,16288298588.81,4.7346902416,4.647376505988,42.8117,13.6546,1004325560.0
114,2021-03-31,000060.SZ,中金岭南,16284438517.54,4.4596459952,4.521308865224,40.253,9.1489,963370484.0
115,2020-12-31,000061.SZ,农产品,11904342474.39,6.975528171,6.827947246279,16.9507,10.7353,484264966.0
116,2020-09-30,000061.SZ,农产品,13680823512.83,7.1536267626,7.535918087933,13.0004,13.9163,579976930.0
117,2021-03-31,000061.SZ,农产品,10427413153.44,5.8079929594,6.048671266266,13.4381,14.8087,433369838.0
118,2020-03-31,000061.SZ,农产品,10133176830.38,7.1090457036,6.390633966695,46.963,28.7926,376220592.0
119,2020-06-30,000061.SZ,农产品,13004587251.12,7.3317253542,7.670068638495,38.578,21.7795,400576449.0
120,2020-03-31,000062.SZ,深圳华强,14209298594.05,11.6118852377,12.408940330622,11.317,20.8527,468238326.0
121,2020-06-30,000062.SZ,深圳华强,13115017055.7,14.321845475,13.171694903763,15.312,23.2636,462940386.0
122,2020-09-30,000062.SZ,深圳华强,16164606624.44,13.2678994875,14.051204323545,7.7568,14.0374,462613518.0
123,2020-12-31,000062.SZ,深圳华强,14385711151.66,12.25335335,13.044468077261,7.5373,18.8278,445748262.0
124,2021-03-31,000062.SZ,深圳华强,12514570946.88,11.721455375,11.969832885918,7.9825,13.468,404385522.0
125,2021-03-31,000063.SZ,中兴通讯,148815334923.35,29.1584127888,30.224364692762,28.7909,15.3023,5114662864.0
126,2020-12-31,000063.SZ,中兴通讯,157118466609.82,33.464549466,32.781391843159,32.6466,15.6061,5396241249.0
127,2020-06-30,000063.SZ,中兴通讯,184194380517.73,39.6989564466,38.974141348068,57.573,21.0541,5635529169.0
128,2020-03-31,000063.SZ,中兴通讯,194129206751.82,42.340277496,46.400299115793,113.3,37.9,4281606622.0
129,2020-09-30,000063.SZ,中兴通讯,177495365316.01,32.917580604,34.535826405659,28.176,18.3333,4841486585.0
130,2020-12-31,000066.SZ,中国长城,46145749006.06,18.8742857643,15.92241350073,59.1863,37.9334,2888318722.0
131,2020-03-31,000066.SZ,中国长城,42291882282.09,11.795993451,13.434297434078,72.164,31.0222,1340684161.0
