,日期,股票代码,股票名称,基金持股比例 [单位]% [比例类型]占流通股比例,基金持股数量 [单位]股,持股基金家数 [股本类型]流通股本
0,2020-03-31,000001.SZ,平安银行,2.44260358,474005841.0,202.0
1,2020-06-30,000001.SZ,平安银行,3.35234102,650547341.0,630.0
2,2020-09-30,000001.SZ,平安银行,3.27797358,636115757.0,317.0
3,2020-12-31,000001.SZ,平安银行,5.98312911,1161071801.0,1095.0
4,2021-03-31,000001.SZ,平安银行,5.76775332,1119276496.0,499.0
5,2020-03-31,000002.SZ,万科A,9.6290972,936352337.0,483.0
6,2020-06-30,000002.SZ,万科A,11.17631907,1086807226.0,1047.0
7,2020-09-30,000002.SZ,万科A,8.2614609,803360695.0,518.0
8,2020-12-31,000002.SZ,万科A,12.10564974,1177177167.0,1173.0
9,2021-03-31,000002.SZ,万科A,8.92994428,868365320.0,555.0
10,2020-03-31,000004.SZ,国华网安,13.11908737,11010415.0,4.0
11,2020-06-30,000004.SZ,国华网安,14.61158052,12263015.0,9.0
12,2020-09-30,000004.SZ,国华网安,0.39725149,333400.0,1.0
13,2020-12-31,000004.SZ,国华网安,0.32266257,270800.0,6.0
14,2020-06-30,000005.SZ,ST星源,0.0002174,2300.0,1.0
15,2020-03-31,000006.SZ,深振业A,0.64159895,8661554.0,2.0
16,2020-06-30,000006.SZ,深振业A,0.23327271,3149170.0,29.0
17,2020-12-31,000006.SZ,深振业A,0.21687488,2927800.0,14.0
18,2020-06-30,000007.SZ,*ST全新,0.00281601,8700.0,1.0
19,2020-12-31,000007.SZ,*ST全新,0.01495397,46200.0,2.0
20,2020-03-31,000008.SZ,神州高铁,0.11772154,3273595.0,4.0
21,2020-06-30,000008.SZ,神州高铁,1.14858308,31939745.0,52.0
22,2020-12-31,000008.SZ,神州高铁,1.18508105,32954679.0,51.0
23,2020-03-31,000009.SZ,中国宝安,2.19572822,55883711.0,13.0
24,2020-06-30,000009.SZ,中国宝安,8.040044,204628010.0,146.0
25,2020-09-30,000009.SZ,中国宝安,0.9549972,24393308.0,5.0
26,2020-12-31,000009.SZ,中国宝安,1.69478625,43289598.0,90.0
27,2021-03-31,000009.SZ,中国宝安,0.17744593,4532467.0,2.0
28,2020-03-31,000011.SZ,深物业A,0.43710371,2301100.0,2.0
29,2020-06-30,000011.SZ,深物业A,3.18653506,16776328.0,47.0
30,2020-09-30,000011.SZ,深物业A,2.82171549,14855642.0,7.0
31,2020-12-31,000011.SZ,深物业A,0.63891228,3363717.0,14.0
32,2021-03-31,000011.SZ,深物业A,0.29051473,1529489.0,1.0
33,2020-06-30,000012.SZ,南玻A,1.84464879,36179578.0,79.0
34,2020-12-31,000012.SZ,南玻A,1.26020141,24716620.0,81.0
35,2021-03-31,000012.SZ,南玻A,0.18413591,3611500.0,3.0
36,2020-06-30,000014.SZ,沙河股份,0.29905032,603200.0,2.0
37,2020-12-31,000014.SZ,沙河股份,0.05086632,102600.0,1.0
38,2020-03-31,000016.SZ,深康佳A,5.637e-05,900.0,1.0
39,2020-06-30,000016.SZ,深康佳A,0.1164492,1859221.0,17.0
40,2020-12-31,000016.SZ,深康佳A,0.02600999,415274.0,13.0
41,2020-06-30,000019.SZ,深粮控股,0.0048052,20000.0,4.0
42,2020-12-31,000019.SZ,深粮控股,0.14137358,588420.0,6.0
43,2020-03-31,000021.SZ,深科技,0.88644574,13041916.0,4.0
44,2020-06-30,000021.SZ,深科技,1.70650543,25107121.0,123.0
45,2020-09-30,000021.SZ,深科技,0.01130324,166300.0,2.0
46,2020-12-31,000021.SZ,深科技,2.12327677,31238908.0,126.0
47,2021-03-31,000021.SZ,深科技,0.62490769,9194013.0,4.0
48,2020-03-31,000023.SZ,深天地A,0.01953065,27100.0,1.0
49,2020-06-30,000023.SZ,深天地A,0.22406199,310900.0,2.0
50,2020-12-31,000023.SZ,深天地A,0.30031082,416700.0,1.0
51,2020-03-31,000025.SZ,特力A,0.97948353,3847199.0,3.0
52,2020-06-30,000025.SZ,特力A,0.38572214,1515033.0,50.0
53,2020-09-30,000025.SZ,特力A,0.17332652,680789.0,1.0
54,2020-12-31,000025.SZ,特力A,0.24725348,971158.0,15.0
55,2021-03-31,000025.SZ,特力A,0.12957131,508928.0,1.0
56,2020-06-30,000026.SZ,飞亚达,0.00849209,30325.0,4.0
57,2020-09-30,000026.SZ,飞亚达,3.88159173,13861043.0,12.0
58,2020-12-31,000026.SZ,飞亚达,10.69575146,38194195.0,92.0
59,2021-03-31,000026.SZ,飞亚达,16.4111728,58826591.0,18.0
60,2020-03-31,000027.SZ,深圳能源,0.30234635,11986496.0,4.0
61,2020-06-30,000027.SZ,深圳能源,0.51190728,24353423.0,92.0
62,2020-09-30,000027.SZ,深圳能源,0.35334344,16809925.0,3.0
63,2020-12-31,000027.SZ,深圳能源,0.48788251,23210474.0,91.0
64,2021-03-31,000027.SZ,深圳能源,0.15383875,7318709.0,3.0
65,2020-03-31,000028.SZ,国药一致,1.27180576,4676897.0,11.0
66,2020-06-30,000028.SZ,国药一致,3.19137703,11735866.0,141.0
67,2020-09-30,000028.SZ,国药一致,1.69727235,6241494.0,7.0
68,2020-12-31,000028.SZ,国药一致,3.03682903,11167536.0,135.0
69,2021-03-31,000028.SZ,国药一致,1.07305598,3946021.0,6.0
70,2020-03-31,000029.SZ,深深房A,0.00069533,6200.0,1.0
71,2020-06-30,000029.SZ,深深房A,0.0020528,18304.0,3.0
72,2020-09-30,000029.SZ,深深房A,0.00069533,6200.0,1.0
73,2020-12-31,000029.SZ,深深房A,1.054e-05,94.0,2.0
74,2020-03-31,000030.SZ,富奥股份,0.57427551,10122945.0,7.0
75,2020-06-30,000030.SZ,富奥股份,2.86026908,50418913.0,55.0
76,2020-09-30,000030.SZ,富奥股份,0.4326252,7626028.0,4.0
77,2020-12-31,000030.SZ,富奥股份,3.33258426,58744569.0,61.0
78,2021-03-31,000030.SZ,富奥股份,1.45064868,25571066.0,3.0
79,2020-03-31,000031.SZ,大悦城,3.45836684,62725492.0,4.0
80,2020-06-30,000031.SZ,大悦城,3.65030626,66206758.0,88.0
81,2020-09-30,000031.SZ,大悦城,0.34168187,6197192.0,1.0
82,2020-12-31,000031.SZ,大悦城,1.1754565,21319626.0,80.0
83,2021-03-31,000031.SZ,大悦城,0.33567993,6346892.0,1.0
84,2020-06-30,000032.SZ,深桑达A,0.54027062,2228260.0,6.0
85,2020-12-31,000032.SZ,深桑达A,0.11086379,457240.0,10.0
86,2021-03-31,000032.SZ,深桑达A,0.01333547,55000.0,1.0
87,2020-03-31,000034.SZ,神州数码,1.16766872,7590919.0,8.0
88,2020-06-30,000034.SZ,神州数码,2.9701544,19308731.0,99.0
89,2020-09-30,000034.SZ,神州数码,4.783943,31342639.0,14.0
90,2020-12-31,000034.SZ,神州数码,2.81665966,18499106.0,51.0
91,2021-03-31,000034.SZ,神州数码,0.42211961,2772533.0,7.0
92,2020-03-31,000035.SZ,中国天楹,0.12710776,3099823.0,2.0
93,2020-06-30,000035.SZ,中国天楹,0.37806011,9219889.0,32.0
94,2020-09-30,000035.SZ,中国天楹,0.06107356,1489423.0,1.0
95,2020-12-31,000035.SZ,中国天楹,0.25048034,6321566.0,18.0
96,2020-03-31,000036.SZ,华联控股,2.84951226,42284882.0,5.0
97,2020-06-30,000036.SZ,华联控股,3.24796225,48197617.0,47.0
98,2020-09-30,000036.SZ,华联控股,1.63291592,24231395.0,3.0
99,2020-12-31,000036.SZ,华联控股,2.2195513,32936677.0,22.0
100,2021-03-31,000036.SZ,华联控股,2.2093629,32785488.0,10.0
101,2020-06-30,000038.SZ,深大通,0.01523231,36280.0,5.0
102,2020-12-31,000038.SZ,深大通,0.04529386,107880.0,7.0
103,2021-03-31,000038.SZ,深大通,0.05659634,134800.0,1.0
104,2020-03-31,000039.SZ,中集集团,0.01358029,207260.0,1.0
105,2020-06-30,000039.SZ,中集集团,3.66171019,55884394.0,85.0
106,2020-09-30,000039.SZ,中集集团,0.00322528,49512.0,2.0
107,2020-12-31,000039.SZ,中集集团,2.93026302,44983103.0,137.0
108,2021-03-31,000039.SZ,中集集团,0.54092036,8303786.0,29.0
109,2020-03-31,000040.SZ,东旭蓝天,0.4239546,4495363.0,1.0
110,2020-06-30,000040.SZ,东旭蓝天,0.01803042,191184.0,10.0
111,2020-12-31,000040.SZ,东旭蓝天,1.22898832,13031463.0,8.0
112,2021-03-31,000040.SZ,东旭蓝天,1.62642068,17245600.0,2.0
113,2020-03-31,000042.SZ,中洲控股,0.05341206,355100.0,4.0
114,2020-06-30,000042.SZ,中洲控股,0.00066182,4400.0,3.0
115,2020-12-31,000045.SZ,深纺织A,0.07717563,352765.0,5.0
116,2020-06-30,000046.SZ,泛海控股,0.49821594,25888300.0,74.0
117,2020-12-31,000046.SZ,泛海控股,0.54183383,28154773.0,90.0
118,2020-03-31,000048.SZ,京基智农,0.00872068,35100.0,1.0
