,日期,股票代码,股票名称,基金持股比例 [单位]% [比例类型]占流通股比例,基金持股数量 [单位]股,持股基金家数 [股本类型]流通股本
0,2021-09-30,000001.SZ,平安银行,5.35327591,1038843995.0,405.0
1,2021-12-31,000001.SZ,平安银行,4.53313556,879689493.0,303.0
2,2022-03-31,000001.SZ,平安银行,4.46000839,865498617.0,322.0
3,2022-06-30,000001.SZ,平安银行,5.63038639,1092619375.0,810.0
4,2022-09-30,000001.SZ,平安银行,3.20181505,621336593.0,215.0
5,2021-09-30,000002.SZ,万科A,7.32579041,712374251.0,282.0
6,2021-12-31,000002.SZ,万科A,8.41213271,818012317.0,268.0
7,2022-03-31,000002.SZ,万科A,8.05861131,783635209.0,350.0
8,2022-06-30,000002.SZ,万科A,11.1604832,1085267315.0,936.0
9,2022-09-30,000002.SZ,万科A,9.03506272,878587250.0,370.0
10,2022-03-31,000004.SZ,国华网安,0.45944204,534500.0,1.0
11,2022-06-30,000004.SZ,国华网安,0.00386808,4500.0,1.0
12,2022-09-30,000004.SZ,国华网安,0.0,0.0,0.0
13,2022-03-31,000005.SZ,ST星源,0.0,0.0,0.0
14,2022-06-30,000005.SZ,ST星源,0.0,0.0,0.0
15,2022-09-30,000005.SZ,ST星源,0.0,0.0,0.0
16,2022-03-31,000006.SZ,深振业A,0.0,0.0,0.0
17,2022-06-30,000006.SZ,深振业A,1.35586718,18304140.0,11.0
18,2022-09-30,000006.SZ,深振业A,0.62476593,8434309.0,2.0
19,2022-03-31,000007.SZ,全新好,0.0,0.0,0.0
20,2022-06-30,000007.SZ,全新好,0.0,0.0,0.0
21,2022-09-30,000007.SZ,全新好,0.0,0.0,0.0
22,2021-12-31,000008.SZ,神州高铁,0.0023051,64100.0,1.0
23,2022-03-31,000008.SZ,神州高铁,0.00348102,96800.0,2.0
24,2022-06-30,000008.SZ,神州高铁,0.06848138,1904327.0,8.0
25,2022-09-30,000008.SZ,神州高铁,0.0,0.0,0.0
26,2021-09-30,000009.SZ,中国宝安,12.93129449,330301543.0,96.0
27,2021-12-31,000009.SZ,中国宝安,2.37595864,60688650.0,35.0
28,2022-03-31,000009.SZ,中国宝安,3.40180548,86891656.0,10.0
29,2022-06-30,000009.SZ,中国宝安,6.54835472,167263357.0,206.0
30,2022-09-30,000009.SZ,中国宝安,1.69538584,43304911.0,8.0
31,2022-03-31,000010.SZ,美丽生态,0.0,0.0,0.0
32,2022-06-30,000010.SZ,美丽生态,0.0,0.0,0.0
33,2022-09-30,000010.SZ,美丽生态,0.0,0.0,0.0
34,2022-03-31,000011.SZ,深物业A,0.08218806,432700.0,2.0
35,2022-06-30,000011.SZ,深物业A,0.55239681,2908234.0,16.0
36,2022-09-30,000011.SZ,深物业A,0.2525728,1329734.0,1.0
37,2021-09-30,000012.SZ,南玻A,3.47107614,68079016.0,21.0
38,2021-12-31,000012.SZ,南玻A,9.25795166,181578339.0,26.0
39,2022-03-31,000012.SZ,南玻A,9.01670776,176846767.0,13.0
40,2022-06-30,000012.SZ,南玻A,6.90377195,135405270.0,142.0
41,2022-09-30,000012.SZ,南玻A,0.49376858,9684397.0,5.0
42,2022-03-31,000014.SZ,沙河股份,0.00084281,1700.0,1.0
43,2022-06-30,000014.SZ,沙河股份,0.18692297,452440.0,3.0
44,2022-09-30,000014.SZ,沙河股份,0.0,0.0,0.0
45,2022-03-31,000016.SZ,深康佳A,0.0,0.0,0.0
46,2022-06-30,000016.SZ,深康佳A,0.58223457,9295921.0,21.0
47,2022-09-30,000016.SZ,深康佳A,0.0,0.0,0.0
48,2022-03-31,000017.SZ,深中华A,0.0,0.0,0.0
49,2022-06-30,000017.SZ,深中华A,0.0,0.0,0.0
50,2022-09-30,000017.SZ,深中华A,0.0,0.0,0.0
51,2022-03-31,000019.SZ,深粮控股,0.0,0.0,0.0
52,2022-06-30,000019.SZ,深粮控股,0.05985349,249120.0,10.0
53,2022-09-30,000019.SZ,深粮控股,0.0,0.0,0.0
54,2022-03-31,000020.SZ,深华发A,0.0,0.0,0.0
55,2022-06-30,000020.SZ,深华发A,0.14991826,271600.0,1.0
56,2022-09-30,000020.SZ,深华发A,0.0,0.0,0.0
57,2021-09-30,000021.SZ,深科技,1.17410828,17274178.0,2.0
58,2022-03-31,000021.SZ,深科技,1.35118202,21086379.0,2.0
59,2022-06-30,000021.SZ,深科技,2.26504746,36978050.0,118.0
60,2022-09-30,000021.SZ,深科技,1.37617467,21476411.0,2.0
61,2022-03-31,000023.SZ,深天地A,0.0,0.0,0.0
62,2022-06-30,000023.SZ,深天地A,0.0,0.0,0.0
63,2022-09-30,000023.SZ,深天地A,0.0,0.0,0.0
64,2021-09-30,000025.SZ,特力A,0.15149385,595035.0,1.0
65,2022-03-31,000025.SZ,特力A,0.2484908,976018.0,1.0
66,2022-06-30,000025.SZ,特力A,0.48163427,1891755.0,8.0
67,2022-09-30,000025.SZ,特力A,0.24883629,977375.0,1.0
68,2021-09-30,000026.SZ,飞亚达,7.4753522,26795738.0,6.0
69,2021-12-31,000026.SZ,飞亚达,0.00410094,14700.0,1.0
70,2022-03-31,000026.SZ,飞亚达,0.67841618,2440707.0,2.0
71,2022-06-30,000026.SZ,飞亚达,0.69271021,2492132.0,11.0
72,2022-09-30,000026.SZ,飞亚达,0.0,0.0,0.0
73,2021-09-30,000027.SZ,深圳能源,0.36783592,17499389.0,6.0
74,2021-12-31,000027.SZ,深圳能源,0.02855768,1358600.0,1.0
75,2022-03-31,000027.SZ,深圳能源,0.1890383,8993289.0,1.0
76,2022-06-30,000027.SZ,深圳能源,0.69543512,33084558.0,118.0
77,2022-09-30,000027.SZ,深圳能源,0.1879789,8942889.0,1.0
78,2021-09-30,000028.SZ,国药一致,0.57369847,2109700.0,5.0
79,2021-12-31,000028.SZ,国药一致,0.54949637,2020700.0,4.0
80,2022-03-31,000028.SZ,国药一致,0.55259641,2032100.0,4.0
81,2022-06-30,000028.SZ,国药一致,1.58097631,5813831.0,106.0
82,2022-09-30,000028.SZ,国药一致,1.04529152,3843921.0,7.0
83,2022-03-31,000029.SZ,深深房A,0.0,0.0,0.0
84,2022-06-30,000029.SZ,深深房A,0.01584124,141250.0,6.0
85,2022-09-30,000029.SZ,深深房A,0.0,0.0,0.0
86,2021-09-30,000030.SZ,富奥股份,0.51344089,9050593.0,1.0
87,2021-12-31,000030.SZ,富奥股份,0.00011346,2000.0,1.0
88,2022-03-31,000030.SZ,富奥股份,1.34438292,23697884.0,2.0
89,2022-06-30,000030.SZ,富奥股份,1.66313167,29316574.0,29.0
90,2022-09-30,000030.SZ,富奥股份,0.5723599,10089178.0,1.0
91,2021-09-30,000031.SZ,大悦城,0.93371551,17654292.0,3.0
92,2021-12-31,000031.SZ,大悦城,0.02489479,470700.0,1.0
93,2022-03-31,000031.SZ,大悦城,0.43332864,8193192.0,3.0
94,2022-06-30,000031.SZ,大悦城,2.63730416,49865015.0,83.0
