,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
34,深纺织A,000045.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
35,泛海控股,000046.SZ,金融地产,其他金融,其他金融服务,其它综合性金融服务,成长型
36,京基智农,000048.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
37,德赛电池,000049.SZ,工业,资本品,电气设备,新能源设备,混合型
38,深天马A,000050.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
39,方大集团,000055.SZ,工业,资本品,建筑产品,建筑产品,成长型
40,皇庭国际,000056.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,混合型
41,深赛格,000058.SZ,工业,商业服务与用品,商业服务与用品,市场服务,混合型
42,华锦股份,000059.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,价值型
43,中金岭南,000060.SZ,原材料,原材料,有色金属,其它有色金属及合金,价值型
44,农产品,000061.SZ,工业,商业服务与用品,商业服务与用品,市场服务,成长型
45,深圳华强,000062.SZ,工业,商业服务与用品,商业服务与用品,市场服务,成长型
46,中兴通讯,000063.SZ,电信业务,通信设备,通信设备,通信传输设备,混合型
47,北方国际,000065.SZ,工业,资本品,建筑与工程,土木工程,价值型
48,中国长城,000066.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,成长型
49,华控赛格,000068.SZ,工业,资本品,环保设备、工程与服务,环保服务,价值型
50,华侨城A,000069.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
51,特发信息,000070.SZ,电信业务,通信设备,通信设备,通信传输设备,价值型
52,海王生物,000078.SZ,医药卫生,医药生物,制药,药品经销商,混合型
53,盐田港,000088.SZ,工业,交通运输,道路运输,公路运输,成长型
54,深圳机场,000089.SZ,工业,交通运输,交通基本设施,机场,价值型
55,天健集团,000090.SZ,工业,资本品,建筑与工程,土木工程,混合型
56,广聚能源,000096.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,成长型
57,中信海直,000099.SZ,工业,交通运输,航空货运与物流,航空货运,成长型
58,TCL科技,000100.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,价值型
59,*ST宜康,000150.SZ,医药卫生,医疗器械与服务,医疗用品与服务提供商,医疗保健服务,混合型
60,中成股份,000151.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,价值型
61,丰原药业,000153.SZ,医药卫生,医药生物,制药,化学药,成长型
62,川能动力,000155.SZ,公用事业,公用事业,电力,新能源发电,混合型
63,华数传媒,000156.SZ,可选消费,传媒,传媒,广播与有线电视,混合型
64,中联重科,000157.SZ,工业,资本品,机械制造,工程机械,成长型
65,常山北明,000158.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,价值型
66,国际实业,000159.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,混合型
67,申万宏源,000166.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
68,东方盛虹,000301.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
69,美的集团,000333.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
70,潍柴动力,000338.SZ,工业,资本品,机械制造,通用机械,价值型
71,许继电气,000400.SZ,工业,资本品,电气设备,电气部件与设备,价值型
72,冀东水泥,000401.SZ,原材料,原材料,建筑材料,水泥,混合型
73,金融街,000402.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
74,派林生物,000403.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
75,长虹华意,000404.SZ,工业,资本品,机械制造,通用机械,成长型
76,胜利股份,000407.SZ,公用事业,公用事业,燃气,燃气,混合型
77,藏格矿业,000408.SZ,原材料,原材料,化学制品,化肥与农药,混合型
78,云鼎科技,000409.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,混合型
79,*ST沈机,000410.SZ,工业,资本品,机械制造,通用机械,混合型
80,英特集团,000411.SZ,医药卫生,医药生物,制药,药品经销商,成长型
81,东旭光电,000413.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
82,渤海租赁,000415.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,价值型
83,民生控股,000416.SZ,金融地产,其他金融,消费信贷,消费信贷,混合型
84,合肥百货,000417.SZ,可选消费,零售业,多元化零售,百货商店,价值型
85,通程控股,000419.SZ,可选消费,零售业,多元化零售,综合货品商店,混合型
86,吉林化纤,000420.SZ,原材料,原材料,化学制品,纤维及树脂,混合型
87,南京公用,000421.SZ,公用事业,公用事业,燃气,燃气,混合型
88,湖北宜化,000422.SZ,原材料,原材料,化学制品,化肥与农药,成长型
89,东阿阿胶,000423.SZ,医药卫生,医药生物,制药,中药,价值型
90,徐工机械,000425.SZ,工业,资本品,机械制造,工程机械,成长型
91,兴业矿业,000426.SZ,原材料,原材料,有色金属,其它有色金属及合金,价值型
92,华天酒店,000428.SZ,可选消费,消费者服务,酒店、餐馆与休闲,酒店,价值型
93,粤高速A,000429.SZ,工业,交通运输,交通基本设施,高速公路,价值型
94,张家界,000430.SZ,可选消费,消费者服务,酒店、餐馆与休闲,景点,价值型
95,晨鸣纸业,000488.SZ,原材料,原材料,纸类与林业产品,纸制品,价值型
96,山东路桥,000498.SZ,工业,资本品,建筑与工程,土木工程,混合型
97,武商集团,000501.SZ,可选消费,零售业,多元化零售,百货商店,价值型
98,绿景退,000502.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
99,国新健康,000503.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
100,南华生物,000504.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
101,京粮控股,000505.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,混合型
102,中润资源,000506.SZ,原材料,原材料,有色金属,黄金及其它贵金属,价值型
103,珠海港,000507.SZ,工业,交通运输,交通基本设施,港口,成长型
104,华塑控股,000509.SZ,工业,资本品,建筑产品,建筑产品,价值型
105,新金路,000510.SZ,原材料,原材料,化学原料,化学原料,成长型
106,丽珠集团,000513.SZ,医药卫生,医药生物,制药,化学药,成长型
107,渝开发,000514.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
108,国际医学,000516.SZ,医药卫生,医疗器械与服务,医疗用品与服务提供商,医疗保健机构,成长型
109,荣安地产,000517.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
110,四环生物,000518.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
111,中兵红箭,000519.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
112,长航凤凰,000520.SZ,工业,交通运输,航运,航运,混合型
113,长虹美菱,000521.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
114,广州浪奇,000523.SZ,主要消费,家庭与个人用品,家常用品,家常用品,价值型
115,岭南控股,000524.SZ,可选消费,消费者服务,酒店、餐馆与休闲,酒店,价值型
116,ST红太阳,000525.SZ,原材料,原材料,化学制品,化肥与农药,价值型
117,学大教育,000526.SZ,可选消费,消费者服务,综合消费者服务,教育服务,混合型
118,柳工,000528.SZ,工业,资本品,机械制造,工程机械,混合型
119,广弘控股,000529.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
120,冰山冷热,000530.SZ,工业,资本品,机械制造,通用机械,价值型
121,穗恒运A,000531.SZ,公用事业,公用事业,电力,火电,成长型
122,华金资本,000532.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
123,顺钠股份,000533.SZ,工业,资本品,电气设备,电气部件与设备,成长型
124,万泽股份,000534.SZ,医药卫生,医药生物,制药,化学药,混合型
125,华映科技,000536.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
126,广宇发展,000537.SZ,公用事业,公用事业,电力,新能源发电,价值型
127,云南白药,000538.SZ,医药卫生,医药生物,制药,中药,成长型
128,粤电力A,000539.SZ,公用事业,公用事业,电力,火电,成长型
129,中天金融,000540.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
130,佛山照明,000541.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
131,皖能电力,000543.SZ,公用事业,公用事业,电力,火电,成长型
132,中原环保,000544.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
133,金浦钛业,000545.SZ,原材料,原材料,化学制品,涂料涂漆,混合型
134,金圆股份,000546.SZ,原材料,原材料,建筑材料,水泥,混合型
135,航天发展,000547.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
136,湖南投资,000548.SZ,工业,交通运输,交通基本设施,高速公路,价值型
137,江铃汽车,000550.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
138,创元科技,000551.SZ,工业,资本品,环保设备、工程与服务,环保工程,混合型
139,靖远煤电,000552.SZ,能源,能源,煤炭,煤炭,价值型
140,安道麦A,000553.SZ,原材料,原材料,化学制品,化肥与农药,价值型
141,泰山石油,000554.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,混合型
142,神州信息,000555.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
143,西部创业,000557.SZ,工业,交通运输,道路运输,铁路运输,成长型
144,莱茵体育,000558.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
145,万向钱潮,000559.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
146,我爱我家,000560.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,成长型
147,烽火电子,000561.SZ,电信业务,通信设备,通信设备,通信终端设备,混合型
148,陕国投A,000563.SZ,金融地产,资本市场,资本市场,资产管理与托管银行,混合型
149,ST大集,000564.SZ,可选消费,零售业,多元化零售,百货商店,混合型
150,渝三峡A,000565.SZ,原材料,原材料,化学制品,涂料涂漆,混合型
151,海南海药,000566.SZ,医药卫生,医药生物,制药,化学药,混合型
152,海德股份,000567.SZ,金融地产,资本市场,资本市场,资产管理与托管银行,混合型
153,泸州老窖,000568.SZ,主要消费,食品、饮料与烟草,饮料,白酒,成长型
154,苏常柴A,000570.SZ,工业,资本品,机械制造,通用机械,成长型
155,ST大洲,000571.SZ,能源,能源,煤炭,煤炭,价值型
156,海马汽车,000572.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,混合型
157,粤宏远A,000573.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
158,甘化科工,000576.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
159,威孚高科,000581.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
160,北部湾港,000582.SZ,工业,交通运输,交通基本设施,港口,成长型
161,哈工智能,000584.SZ,工业,资本品,机械制造,其他机械设备,混合型
162,东电退,000585.SZ,工业,资本品,电气设备,电气部件与设备,混合型
163,汇源通信,000586.SZ,电信业务,通信设备,通信设备,通信传输设备,混合型
164,*ST金洲,000587.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,价值型
165,贵州轮胎,000589.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,轮胎,成长型
166,启迪药业,000590.SZ,医药卫生,医药生物,制药,中药,混合型
167,太阳能,000591.SZ,公用事业,公用事业,电力,新能源发电,价值型
168,平潭发展,000592.SZ,原材料,原材料,纸类与林业产品,林业产品,混合型
169,德龙汇能,000593.SZ,公用事业,公用事业,燃气,燃气,混合型
170,宝塔实业,000595.SZ,工业,资本品,机械制造,通用机械,混合型
171,古井贡酒,000596.SZ,主要消费,食品、饮料与烟草,饮料,白酒,成长型
172,东北制药,000597.SZ,医药卫生,医药生物,制药,化学药,混合型
173,兴蓉环境,000598.SZ,公用事业,公用事业,水务,水务,价值型
174,青岛双星,000599.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,轮胎,价值型
175,建投能源,000600.SZ,公用事业,公用事业,电力,火电,混合型
176,韶能股份,000601.SZ,公用事业,公用事业,电力,水电,成长型
177,盛达资源,000603.SZ,原材料,原材料,有色金属,其它有色金属及合金,混合型
178,渤海股份,000605.SZ,公用事业,公用事业,水务,水务,价值型
179,*ST顺利,000606.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,混合型
180,华媒控股,000607.SZ,可选消费,传媒,传媒,营销与广告,价值型
181,阳光股份,000608.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,混合型
182,中迪投资,000609.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
183,西安旅游,000610.SZ,可选消费,消费者服务,酒店、餐馆与休闲,旅行社,混合型
184,天首退,000611.SZ,原材料,原材料,化学制品,化肥与农药,价值型
185,焦作万方,000612.SZ,原材料,原材料,有色金属,铝,成长型
186,东海A退,000613.SZ,可选消费,消费者服务,酒店、餐馆与休闲,酒店,价值型
187,奥园美谷,000615.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
188,ST海投,000616.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
189,中油资本,000617.SZ,金融地产,其他金融,其他金融服务,其它综合性金融服务,混合型
190,海螺新材,000619.SZ,工业,资本品,建筑产品,建筑产品,混合型
191,新华联,000620.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
192,恒立实业,000622.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
193,吉林敖东,000623.SZ,医药卫生,医药生物,制药,中药,成长型
194,长安汽车,000625.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
195,远大控股,000626.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,混合型
196,天茂集团,000627.SZ,金融地产,保险,保险,人寿与健康保险,混合型
197,高新发展,000628.SZ,工业,资本品,建筑与工程,土木工程,成长型
198,钒钛股份,000629.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
199,铜陵有色,000630.SZ,原材料,原材料,有色金属,铜,混合型
200,顺发恒业,000631.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
201,三木集团,000632.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,混合型
202,合金投资,000633.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
203,英力特,000635.SZ,原材料,原材料,化学原料,化学原料,混合型
204,风华高科,000636.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
205,茂化实华,000637.SZ,原材料,原材料,化学原料,化学原料,混合型
206,万方发展,000638.SZ,医药卫生,医疗器械与服务,医疗用品与服务提供商,医疗保健技术,价值型
207,西王食品,000639.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,价值型
208,仁和药业,000650.SZ,医药卫生,医药生物,制药,中药,成长型
209,格力电器,000651.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
210,泰达股份,000652.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,成长型
211,金岭矿业,000655.SZ,原材料,原材料,钢铁,钢铁,成长型
212,金科股份,000656.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
213,中钨高新,000657.SZ,原材料,原材料,有色金属,稀有金属,成长型
214,珠海中富,000659.SZ,原材料,原材料,容器与包装,金属与玻璃容器,价值型
215,长春高新,000661.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
216,永安林业,000663.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,价值型
217,湖北广电,000665.SZ,可选消费,传媒,传媒,广播与有线电视,混合型
218,经纬纺机,000666.SZ,金融地产,资本市场,资本市场,资产管理与托管银行,价值型
219,美好置业,000667.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
220,荣丰控股,000668.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
221,ST金鸿,000669.SZ,公用事业,公用事业,燃气,燃气,价值型
222,盈方微,000670.SZ,信息技术,半导体,半导体,半导体,成长型
223,阳光城,000671.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
224,上峰水泥,000672.SZ,原材料,原材料,建筑材料,水泥,混合型
225,当代退,000673.SZ,可选消费,传媒,传媒,电影与娱乐,混合型
226,智度股份,000676.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,混合型
227,恒天海龙,000677.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
228,襄阳轴承,000678.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
229,大连友谊,000679.SZ,可选消费,零售业,多元化零售,百货商店,价值型
230,山推股份,000680.SZ,工业,资本品,机械制造,工程机械,混合型
231,视觉中国,000681.SZ,可选消费,传媒,传媒,电影与娱乐,成长型
232,东方电子,000682.SZ,工业,资本品,电气设备,电气部件与设备,成长型
233,远兴能源,000683.SZ,原材料,原材料,化学原料,化学原料,价值型
234,中山公用,000685.SZ,公用事业,公用事业,水务,水务,成长型
235,东北证券,000686.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
236,华讯退,000687.SZ,工业,资本品,航空航天与国防,航空航天与国防,价值型
237,国城矿业,000688.SZ,原材料,原材料,有色金属,其它有色金属及合金,混合型
238,宝新能源,000690.SZ,公用事业,公用事业,电力,新能源发电,成长型
239,亚太实业,000691.SZ,原材料,原材料,化学原料,化学原料,成长型
240,惠天热电,000692.SZ,公用事业,公用事业,供热或其他公用事业,供热或其他公用事业,混合型
241,滨海能源,000695.SZ,工业,商业服务与用品,商业服务与用品,商业印刷,混合型
242,炼石航空,000697.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
243,沈阳化工,000698.SZ,原材料,原材料,化学原料,化学原料,价值型
244,模塑科技,000700.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
245,厦门信达,000701.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,价值型
246,正虹科技,000702.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
247,恒逸石化,000703.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
248,浙江震元,000705.SZ,医药卫生,医药生物,制药,药品经销商,混合型
249,双环科技,000707.SZ,原材料,原材料,化学原料,化学原料,价值型
250,中信特钢,000708.SZ,原材料,原材料,钢铁,钢铁,混合型
251,河钢股份,000709.SZ,原材料,原材料,钢铁,钢铁,价值型
252,贝瑞基因,000710.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
253,京蓝科技,000711.SZ,工业,资本品,环保设备、工程与服务,环保服务,价值型
254,锦龙股份,000712.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
255,丰乐种业,000713.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
256,中兴商业,000715.SZ,可选消费,零售业,多元化零售,百货商店,价值型
257,黑芝麻,000716.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,价值型
258,中南股份,000717.SZ,原材料,原材料,钢铁,钢铁,价值型
259,苏宁环球,000718.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
260,中原传媒,000719.SZ,可选消费,传媒,传媒,出版,价值型
261,新能泰山,000720.SZ,金融地产,房地产,房地产开发与园区,园区,成长型
262,西安饮食,000721.SZ,可选消费,消费者服务,酒店、餐馆与休闲,餐馆,价值型
263,湖南发展,000722.SZ,公用事业,公用事业,电力,水电,混合型
264,美锦能源,000723.SZ,能源,能源,煤炭,煤炭,价值型
265,京东方A,000725.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
266,鲁泰A,000726.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,价值型
267,冠捷科技,000727.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
268,国元证券,000728.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
269,燕京啤酒,000729.SZ,主要消费,食品、饮料与烟草,饮料,啤酒,混合型
270,四川美丰,000731.SZ,原材料,原材料,化学制品,化肥与农药,混合型
271,ST泰禾,000732.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
272,振华科技,000733.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,价值型
273,罗牛山,000735.SZ,主要消费,食品、饮料与烟草,农牧渔产品,畜牧产品,成长型
274,中交地产,000736.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
275,北方铜业,000737.SZ,原材料,原材料,化学原料,化学原料,成长型
276,航发控制,000738.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
277,普洛药业,000739.SZ,医药卫生,医药生物,制药,化学药,混合型
278,国海证券,000750.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
279,锌业股份,000751.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
280,*ST西发,000752.SZ,主要消费,食品、饮料与烟草,饮料,啤酒,价值型
281,漳州发展,000753.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车经销商与汽车服务,成长型
282,山西路桥,000755.SZ,工业,交通运输,交通基本设施,高速公路,价值型
283,新华制药,000756.SZ,医药卫生,医药生物,制药,化学药,混合型
284,浩物股份,000757.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车经销商与汽车服务,混合型
285,中色股份,000758.SZ,原材料,原材料,有色金属,其它有色金属及合金,混合型
286,中百集团,000759.SZ,主要消费,食品与主要用品零售,食品与主要用品零售,大卖场与超市,混合型
287,本钢板材,000761.SZ,原材料,原材料,钢铁,钢铁,价值型
288,西藏矿业,000762.SZ,原材料,原材料,有色金属,稀有金属,混合型
289,通化金马,000766.SZ,医药卫生,医药生物,制药,化学药,混合型
290,晋控电力,000767.SZ,公用事业,公用事业,电力,火电,成长型
291,中航西飞,000768.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
292,广发证券,000776.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
293,中核科技,000777.SZ,工业,资本品,机械制造,通用机械,成长型
294,新兴铸管,000778.SZ,原材料,原材料,钢铁,钢铁,价值型
295,甘咨询,000779.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
296,美达股份,000782.SZ,原材料,原材料,化学制品,纤维及树脂,价值型
297,长江证券,000783.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,混合型
298,居然之家,000785.SZ,可选消费,零售业,多元化零售,综合货品商店,价值型
299,北新建材,000786.SZ,原材料,原材料,建筑材料,其他建材,混合型
300,北大医药,000788.SZ,医药卫生,医药生物,制药,化学药,价值型
301,万年青,000789.SZ,原材料,原材料,建筑材料,水泥,混合型
302,华神科技,000790.SZ,医药卫生,医药生物,制药,中药,混合型
303,甘肃电投,000791.SZ,公用事业,公用事业,电力,水电,成长型
304,盐湖股份,000792.SZ,原材料,原材料,化学制品,化肥与农药,混合型
305,华闻集团,000793.SZ,可选消费,传媒,传媒,出版,混合型
306,英洛华,000795.SZ,原材料,原材料,有色金属,稀有金属,成长型
307,ST凯撒,000796.SZ,可选消费,消费者服务,酒店、餐馆与休闲,旅行社,价值型
308,中国武夷,000797.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
309,中水渔业,000798.SZ,主要消费,食品、饮料与烟草,农牧渔产品,渔业产品,价值型
310,酒鬼酒,000799.SZ,主要消费,食品、饮料与烟草,饮料,白酒,成长型
311,一汽解放,000800.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,混合型
312,四川九洲,000801.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
313,北京文化,000802.SZ,可选消费,传媒,传媒,电影与娱乐,价值型
314,山高环能,000803.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
315,*ST银河,000806.SZ,工业,资本品,电气设备,电气部件与设备,混合型
316,云铝股份,000807.SZ,原材料,原材料,有色金属,铝,混合型
317,ST新城,000809.SZ,工业,资本品,建筑与工程,土木工程,混合型
318,创维数字,000810.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
319,冰轮环境,000811.SZ,工业,资本品,机械制造,通用机械,混合型
320,陕西金叶,000812.SZ,工业,商业服务与用品,商业服务与用品,商业印刷,混合型
321,德展健康,000813.SZ,医药卫生,医药生物,制药,化学药,混合型
322,美利云,000815.SZ,原材料,原材料,纸类与林业产品,纸制品,混合型
323,智慧农业,000816.SZ,工业,资本品,机械制造,通用机械,价值型
324,航锦科技,000818.SZ,原材料,原材料,化学原料,化学原料,价值型
325,岳阳兴长,000819.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,成长型
326,神雾节能,000820.SZ,工业,资本品,环保设备、工程与服务,环保工程,混合型
327,京山轻机,000821.SZ,工业,资本品,机械制造,其他机械设备,成长型
328,山东海化,000822.SZ,原材料,原材料,化学原料,化学原料,价值型
329,超声电子,000823.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,价值型
330,太钢不锈,000825.SZ,原材料,原材料,钢铁,钢铁,价值型
