,日期,股票代码,股票名称,区间日均总市值 [起始交易日期]截止日3月前 [单位]元,月收盘价 [复权方式]前复权,当月成交均价 [复权方式]前复权,月换手率 [单位]%,月振幅 [单位]%,融资融券差额 [单位]元
0,2021-09-30,000001.SZ,平安银行,378107895695.71,17.93,18.53589,14.1864,22.3596,1982596924.0
1,2021-12-31,000001.SZ,平安银行,354107927324.6,16.48,17.637695652174,13.1943,15.2523,3740793905.0
2,2022-03-31,000001.SZ,平安银行,309530973535.46,15.1081014402,14.583016542998,14.4243,17.3333,3646090323.0
3,2022-06-30,000001.SZ,平安银行,289135455957.94,14.7151729242,14.034223128252,14.4258,10.3814,3593269945.0
4,2022-09-30,000001.SZ,平安银行,249157288209.14,11.84,12.422114285714,10.1263,10.1176,4076306289.0
5,2022-09-30,000002.SZ,万科A,203625446321.36,17.83,17.65939047619,19.4986,13.8304,3628264865.0
6,2022-03-31,000002.SZ,万科A,227512693456.67,18.032340507,16.548685629336,37.2328,29.7917,5162083731.0
7,2022-06-30,000002.SZ,万科A,220043731881.56,19.30354989,17.132750242289,20.3186,19.9326,4164680527.0
8,2021-09-30,000002.SZ,万科A,253827125761.09,21.31,20.43923,21.3339,15.8586,5429046559.0
9,2021-12-31,000002.SZ,万科A,228511910730.3,19.76,19.648269565217,21.0227,13.4721,5854464770.0
10,2022-03-31,000004.SZ,国华网安,3298988058.46,20.01,20.195847826087,113.157,17.8025,0.0
11,2022-06-30,000004.SZ,国华网安,1918581477.13,8.91,9.472561904762,51.9508,17.3913,0.0
12,2022-09-30,000004.SZ,国华网安,1247328110.11,8.44,9.077061904762,35.8697,18.3084,0.0
13,2022-03-31,000005.SZ,ST星源,2343134094.33,2.26,2.191134782609,17.2172,13.6364,0.0
14,2022-06-30,000005.SZ,ST星源,2073691026.54,1.82,1.827095238095,13.219,7.9365,0.0
15,2022-09-30,000005.SZ,ST星源,1886440959.94,1.68,1.791871428571,11.2708,13.1148,0.0
16,2022-09-30,000006.SZ,深振业A,5765092480.53,4.13,4.351614285714,24.4465,12.114,358782162.0
17,2022-06-30,000006.SZ,深振业A,6082723580.21,4.71,4.34738453811,50.0919,14.7059,409412263.0
18,2021-12-31,000006.SZ,深振业A,5778632020.29,4.46,4.324795652174,22.3142,17.0732,378872430.0
19,2021-09-30,000006.SZ,深振业A,6285369242.63,4.49,4.65344,15.2979,10.1545,408052389.0
20,2022-03-31,000006.SZ,深振业A,6020291467.0,5.0095454405,4.311554414789,40.45,41.2442,393962102.0
