,日期,股票代码,股票名称,基金持股比例 [单位]% [比例类型]占流通股比例,基金持股数量 [单位]股,持股基金家数 [股本类型]流通股本
3481,2019-06-30,002590.SZ,万安科技,0.01183122,56287.0,9.0
3482,2019-12-31,002590.SZ,万安科技,0.01671237,79509.0,10.0
3483,2019-06-30,002591.SZ,恒大高新,0.60075862,1638735.0,9.0
3484,2019-12-31,002591.SZ,恒大高新,0.01807256,49700.0,4.0
3485,2019-03-31,002592.SZ,ST八菱,0.00215296,6100.0,1.0
3486,2019-06-30,002592.SZ,ST八菱,0.0383583,108681.0,3.0
3487,2019-12-31,002592.SZ,ST八菱,0.00780077,22102.0,2.0
3488,2019-06-30,002593.SZ,日上集团,0.02073948,145146.0,2.0
3489,2019-09-30,002593.SZ,日上集团,1.62907343,11409900.0,1.0
3490,2019-12-31,002593.SZ,日上集团,0.00607459,42546.0,2.0
3491,2019-03-31,002594.SZ,比亚迪,2.17565528,39447738.0,61.0
3492,2019-06-30,002594.SZ,比亚迪,3.8100682,69081977.0,346.0
3493,2019-09-30,002594.SZ,比亚迪,0.39971658,7247433.0,30.0
3494,2019-12-31,002594.SZ,比亚迪,2.22619861,40364161.0,263.0
3495,2020-03-31,002594.SZ,比亚迪,3.31162801,60044547.0,78.0
3496,2019-03-31,002595.SZ,豪迈科技,0.38844738,3107579.0,8.0
3497,2019-06-30,002595.SZ,豪迈科技,4.41857795,35348623.0,81.0
3498,2019-09-30,002595.SZ,豪迈科技,3.16712552,25337004.0,6.0
3499,2019-12-31,002595.SZ,豪迈科技,6.33617654,50689412.0,53.0
3500,2020-03-31,002595.SZ,豪迈科技,8.07173476,64573878.0,7.0
3501,2019-03-31,002596.SZ,海南瑞泽,0.48316588,4713424.0,3.0
3502,2019-06-30,002596.SZ,海南瑞泽,0.11526074,1165956.0,18.0
3503,2019-12-31,002596.SZ,海南瑞泽,0.05918773,598732.0,16.0
3504,2020-03-31,002596.SZ,海南瑞泽,0.22581476,2473000.0,2.0
3505,2019-03-31,002597.SZ,金禾实业,0.59142534,3304698.0,7.0
3506,2019-06-30,002597.SZ,金禾实业,3.8607144,21572516.0,93.0
3507,2019-09-30,002597.SZ,金禾实业,0.68139811,3807449.0,10.0
3508,2019-12-31,002597.SZ,金禾实业,7.51285424,41979677.0,147.0
3509,2020-03-31,002597.SZ,金禾实业,3.6006724,20119656.0,26.0
3510,2019-06-30,002598.SZ,山东章鼓,0.00333916,9600.0,1.0
3511,2019-12-31,002598.SZ,山东章鼓,0.25454134,731800.0,6.0
3512,2019-03-31,002599.SZ,盛通股份,5.21375937,14869341.0,3.0
3513,2019-06-30,002599.SZ,盛通股份,3.60126988,10270614.0,11.0
3514,2019-12-31,002599.SZ,盛通股份,0.15388597,744525.0,9.0
3515,2019-03-31,002600.SZ,领益智造,0.0195538,395200.0,1.0
3516,2019-06-30,002600.SZ,领益智造,0.32461239,7137244.0,33.0
3517,2019-09-30,002600.SZ,领益智造,12.70270626,279294065.0,47.0
3518,2019-12-31,002600.SZ,领益智造,19.30671861,424496310.0,261.0
3519,2020-03-31,002600.SZ,领益智造,4.19789863,92299086.0,10.0
3520,2019-03-31,002601.SZ,龙佰集团,0.4974439,3533679.0,8.0
3521,2019-06-30,002601.SZ,龙佰集团,4.358629,30962277.0,165.0
3522,2019-09-30,002601.SZ,龙佰集团,0.08571703,1741788.0,5.0
3523,2019-12-31,002601.SZ,龙佰集团,3.79499057,77115002.0,286.0
