,日期,股票代码,股票名称,基金持股比例 [单位]% [比例类型]占流通股比例,基金持股数量 [单位]股,持股基金家数 [股本类型]流通股本
0,2019-06-30,000001.SZ,平安银行,4.51489229,775218546.0,625.0
1,2019-09-30,000001.SZ,平安银行,2.9202907,566704666.0,311.0
2,2019-12-31,000001.SZ,平安银行,4.68850466,909840074.0,758.0
3,2020-03-31,000001.SZ,平安银行,2.44260358,474005841.0,202.0
4,2020-06-30,000001.SZ,平安银行,3.35234102,650547341.0,630.0
5,2019-06-30,000002.SZ,万科A,6.27402797,610098802.0,833.0
6,2019-09-30,000002.SZ,万科A,6.05808161,589099757.0,266.0
7,2019-12-31,000002.SZ,万科A,11.35155163,1103847163.0,1286.0
8,2020-03-31,000002.SZ,万科A,9.6290972,936352337.0,483.0
9,2020-06-30,000002.SZ,万科A,11.17631907,1086807226.0,1047.0
10,2019-06-30,000004.SZ,国华网安,0.07290768,61189.0,2.0
11,2020-03-31,000004.SZ,国华网安,13.11908737,11010415.0,4.0
12,2020-06-30,000004.SZ,国华网安,14.61158052,12263015.0,9.0
13,2019-06-30,000005.SZ,ST星源,0.14704915,1555701.0,6.0
14,2019-09-30,000005.SZ,ST星源,0.06298997,666400.0,1.0
15,2019-12-31,000005.SZ,ST星源,0.12634859,1336700.0,4.0
16,2020-06-30,000005.SZ,ST星源,0.0002174,2300.0,1.0
17,2019-06-30,000006.SZ,深振业A,1.38137913,18648550.0,58.0
18,2019-09-30,000006.SZ,深振业A,0.76119939,10276154.0,1.0
19,2019-12-31,000006.SZ,深振业A,1.91750605,25886236.0,84.0
20,2020-03-31,000006.SZ,深振业A,0.64159895,8661554.0,2.0
21,2020-06-30,000006.SZ,深振业A,0.23327271,3149170.0,29.0
22,2019-06-30,000007.SZ,全新好,3.237e-05,100.0,1.0
23,2019-12-31,000007.SZ,全新好,3.237e-05,100.0,1.0
24,2020-06-30,000007.SZ,全新好,0.00281601,8700.0,1.0
25,2019-06-30,000008.SZ,神州高铁,1.4451108,40185574.0,58.0
26,2019-09-30,000008.SZ,神州高铁,0.87103953,24221827.0,4.0
27,2019-12-31,000008.SZ,神州高铁,1.50502403,41851638.0,59.0
28,2020-03-31,000008.SZ,神州高铁,0.11772154,3273595.0,4.0
29,2020-06-30,000008.SZ,神州高铁,1.14858308,31939745.0,52.0
30,2019-06-30,000009.SZ,中国宝安,2.1905417,46459758.0,78.0
31,2019-09-30,000009.SZ,中国宝安,1.09879509,27965550.0,1.0
32,2019-12-31,000009.SZ,中国宝安,2.46590614,62760038.0,85.0
33,2020-03-31,000009.SZ,中国宝安,2.19572822,55883711.0,13.0
34,2020-06-30,000009.SZ,中国宝安,8.040044,204628010.0,146.0
35,2019-06-30,000011.SZ,深物业A,0.38473212,676600.0,11.0
36,2019-12-31,000011.SZ,深物业A,0.0294809,155200.0,7.0
37,2020-03-31,000011.SZ,深物业A,0.43710371,2301100.0,2.0
38,2020-06-30,000011.SZ,深物业A,3.18653506,16776328.0,47.0
39,2019-06-30,000012.SZ,南玻A,1.59782023,31275995.0,60.0
40,2019-12-31,000012.SZ,南玻A,1.72405112,33814265.0,71.0
41,2020-06-30,000012.SZ,南玻A,1.84464879,36179578.0,79.0
42,2019-06-30,000014.SZ,沙河股份,0.12438947,250900.0,4.0
43,2019-12-31,000014.SZ,沙河股份,0.06172375,124500.0,2.0
44,2020-06-30,000014.SZ,沙河股份,0.29905032,603200.0,2.0
45,2019-06-30,000016.SZ,深康佳A,0.12832024,2048753.0,18.0
46,2019-12-31,000016.SZ,深康佳A,0.02982306,476153.0,10.0
47,2020-03-31,000016.SZ,深康佳A,5.637e-05,900.0,1.0
48,2020-06-30,000016.SZ,深康佳A,0.1164492,1859221.0,17.0
49,2019-12-31,000017.SZ,深中华A,0.00125419,3800.0,1.0
50,2019-06-30,000019.SZ,深粮控股,0.07056164,293639.0,11.0
51,2019-12-31,000019.SZ,深粮控股,0.18723216,779291.0,19.0
52,2020-06-30,000019.SZ,深粮控股,0.0048052,20000.0,4.0
53,2019-06-30,000020.SZ,深华发A,0.00171114,3100.0,1.0
54,2019-12-31,000020.SZ,深华发A,0.09029704,163587.0,4.0
55,2019-06-30,000021.SZ,深科技,1.14808168,16891259.0,68.0
56,2019-09-30,000021.SZ,深科技,1.5421005,22688298.0,2.0
57,2019-12-31,000021.SZ,深科技,1.51500376,22289635.0,67.0
58,2020-03-31,000021.SZ,深科技,0.88644574,13041916.0,4.0
59,2020-06-30,000021.SZ,深科技,1.70650543,25107121.0,123.0
60,2019-06-30,000023.SZ,深天地A,0.48257291,669600.0,9.0
61,2019-12-31,000023.SZ,深天地A,0.08705915,120800.0,5.0
62,2020-03-31,000023.SZ,深天地A,0.01953065,27100.0,1.0
63,2020-06-30,000023.SZ,深天地A,0.22406199,310900.0,2.0
64,2019-06-30,000025.SZ,特力A,0.69986856,2748932.0,35.0
65,2019-09-30,000025.SZ,特力A,0.25386432,997124.0,1.0
66,2019-12-31,000025.SZ,特力A,0.81649539,3207017.0,45.0
67,2020-03-31,000025.SZ,特力A,0.97948353,3847199.0,3.0
68,2020-06-30,000025.SZ,特力A,0.38572214,1515033.0,50.0
